"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2015-07-30",42.084923,42.460533,41.584103,42.144802,2703500,41.248814
"2015-07-31",41.829067,42.591183,41.758301,41.834515,2173100,40.945118
"2015-08-03",41.339138,41.790962,40.691345,40.78933,3452200,39.922161
"2015-08-04",41.121395,41.154057,40.321175,40.658684,2756200,39.794281
"2015-08-05",41.224823,41.834515,40.446381,40.522591,2525500,39.661087
"2015-08-06",40.195972,41.584103,39.804028,41.268372,2658600,40.391006
"2015-08-07",41.045181,41.649429,40.28307,40.435493,2343800,39.57584
"2015-08-10",40.724007,41.812737,40.598801,41.747414,1694200,40.859863
"2015-08-11",40.767555,41.643986,40,41.431683,2241800,40.55085
"2015-08-12",41.399021,42.857922,41.039738,42.830704,2311400,41.950508
"2015-08-13",42.39521,43.119217,41.883507,42.656506,2061600,41.779888
"2015-08-14",42.634731,43.233532,42.351662,42.591183,1526100,41.7159
"2015-08-17",42.106697,42.934132,41.763744,42.716385,1149900,41.838531
"2015-08-18",42.308109,42.950462,41.878063,42.264561,1714800,41.395988
"2015-08-19",41.845402,42.117584,40.549809,41.056068,1959100,40.212337
"2015-08-20",40.996189,41.38269,40.397388,40.397388,1662600,39.567192
"2015-08-21",40.266739,41.186718,39.847576,40.419163,2408100,39.588528
"2015-08-24",38.405006,40.636909,38.236256,38.611866,3414200,37.818363
"2015-08-25",40.228634,40.413719,38.742516,38.747959,2807100,37.951656
"2015-08-26",39.662495,40.500816,38.862274,40.468155,2752500,39.636505
"2015-08-27",41.252041,42.351662,40.903648,41.88895,4754700,41.028107
"2015-08-28",41.703865,43.091999,41.431683,42.302666,2824000,41.433323
"2015-08-31",41.981491,42.770821,41.246597,42.362549,2288700,41.49197
"2015-09-01",40.958084,42.193794,40.827435,41.077843,3463200,40.233669
"2015-09-02",41.529667,42.144802,40.228634,41.039738,2166500,40.196346
"2015-09-03",41.219379,42.052258,40.446381,40.865543,2742000,40.025723
"2015-09-04",40.528034,40.631466,39.760479,39.825802,2640500,39.007355
"2015-09-08",40.201416,40.821991,39.77681,40.72945,2028000,39.892426
"2015-09-09",40.909092,41.627655,39.613499,39.684269,1824100,38.868725
"2015-09-10",39.591724,40.174198,39.031029,39.738705,2996500,38.922054
"2015-09-11",39.172565,39.667938,38.922157,39.515514,2835700,38.703445
"2015-09-14",39.390312,39.510071,38.889492,39.183453,2161400,38.378201
"2015-09-15",39.401199,39.874794,39.232445,39.798584,2026000,38.980694
"2015-09-16",39.863907,40.636909,39.798584,40.577026,1992900,39.743137
"2015-09-17",40.620579,41.44257,40.2994,40.631466,2452300,39.796467
"2015-09-18",39.92379,40.310287,39.706043,40.141537,3413600,39.316601
"2015-09-21",40.364723,40.71312,39.92379,40.168755,1594100,39.343258
"2015-09-22",39.613499,40.386501,39.412086,39.662495,1926600,38.847397
"2015-09-23",39.858463,40.005444,39.036472,39.248775,1863800,38.442184
"2015-09-24",38.976593,39.34676,38.524769,38.600979,4276100,37.807713
"2015-09-25",38.894936,39.06369,37.849754,38.11105,2822900,37.327843
"2015-09-28",37.784431,38.018509,36.412628,36.559608,3456400,35.808281
"2015-09-29",36.630375,37.103973,35.313011,35.416439,4553100,34.688599
"2015-09-30",35.781166,35.808384,34.34404,35.258575,7090000,34.533985
"2015-10-01",36.037018,36.526947,34.959171,35.236797,3072000,34.512661
"2015-10-02",34.937397,37.223736,34.931953,37.207405,2957900,36.442772
"2015-10-05",37.615677,38.747959,37.343494,38.720741,3750400,37.924995
"2015-10-06",38.813282,40.190529,38.628197,39.265106,4619800,38.458187
"2015-10-07",40.489929,40.577026,39.21067,39.831245,2811100,39.012684
"2015-10-08",39.929234,41.001633,39.858463,40.838322,2404600,39.999065
"2015-10-09",40.963528,41.175831,40.114315,40.549809,2619900,39.716484
"2015-10-12",40.538921,40.555252,39.880241,40.489929,2211500,39.657837
"2015-10-13",40.14698,40.762112,39.553619,40.092541,2273200,39.268616
"2015-10-14",40.059879,40.794773,39.85302,40.615135,1403800,39.780472
"2015-10-15",40.626022,41.649429,40.027218,41.643986,1860800,40.788174
